tweet_id	sentiment	content
1965477262	__sentiment__fun	@LeeGazeprophets white pointy shoes haha, and ah you got me excited about the enw drummer  youre mean!
1957662098	__sentiment__empty	@steve_caruso So I took the polish off of the nail of the finger the door handle murdered earlier, and well... it's not pretty....
1696219365	__sentiment__love	@gfalcone601 you happy that Frankies back from France  xx
1751955040	__sentiment__love	@Cortnee4Christ Made so many new friends on Twitter around USA. Another bike across USA trip would be amazing to see people!
1965977404	__sentiment__neutral	@rmwiley i feel you girl
1964765555	__sentiment__relief	@josefamanriquez and yet i couldnt get a pic it wasnt allowed, then i won passes to their carpet of the 3d premiere no pic still wit them
1696004476	__sentiment__neutral	First post on Twitter!  please visit us @ http://www.myfasturl.com
1752193282	__sentiment__happiness	A little happy for the wine jeje ok it'sm my free time so who cares, jaja i love this day
1957096302	__sentiment__worry	I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat
1965695151	__sentiment__neutral	@NeSsIe_Cullen10 I wish you were here with me right now
1964980713	__sentiment__happiness	@marcihearts I will be sending it to you when I get my first check if I make enough lol I have only worked like 8 hours so far
1965069737	__sentiment__happiness	seniors done  5 more days!! woohoo!! going out for the night.
1962939900	__sentiment__happiness	Just eaten, and feel extremely bloated...  now for the not so fun part.
1961611826	__sentiment__neutral	@shae75 ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO
1752413241	__sentiment__worry	I have a tummy ache. Buy me this - http://tinyurl.com/pavh76 and I'll feel better.
1695731031	__sentiment__empty	@gfalcone601 cheese and onion! or as my father says 'cheese and minging'
1694126265	__sentiment__relief	Monday morning lying in bed instead of working is great, more bank holidays required
1695193057	__sentiment__worry	i want you to text me first everyday, not me
1963781481	__sentiment__worry	@Kate_Butler I think/hope they might put an age limit on next year on the back of that  #bgt
1751105553	__sentiment__worry	@Migg But I can still putt 30 yards longer than you can hit your driver
1752019300	__sentiment__happiness	Thanks for the concern, guys. A few stitches later, all is well. Whew.
1962768367	__sentiment__neutral	bored  and sleepy and listening to music :p doing project :S
1694903423	__sentiment__happiness	i can be a good girl at school.. today i was!! i did it!! yayy
1960346631	__sentiment__happiness	@EsmeACullen AWWWWWWW you totally rock...I felt all  and now I'm the happiest girl eva!
1961832611	__sentiment__neutral	on no bsg might just have made me cry
1751359080	__sentiment__worry	needs a non-long distance boyfriend/girlfriend. Watching Sonny with A Chance
1753159347	__sentiment__neutral	Watching the kids eating an ice cream.
1961690590	__sentiment__happiness	@skybluetom4 Ha Ha thanks Tom! I'm such a loser! Hopefully going on the 22nd June till 3rd July...what date u goin? u missing helen?  x
1751395414	__sentiment__happiness	@jonasbrothers http://twitpic.com/3bnas - oh my god! you're adorable! ilove you so much  you are my inspiration Nick!
1694108847	__sentiment__hate	@bridgetmcmanus go into an anti-gravity chamber then you can tell gravity to suck it.
1957544941	__sentiment__love	http://twitpic.com/666gy - My glass is empty. Will someone be a dear and fetch me another?
1957727546	__sentiment__surprise	@ManaMoose I can't believe you went and got boba without me.
1751715841	__sentiment__happiness	feeling like in 16 again - watching TWILIGHT &amp; enjoying it
1961644053	__sentiment__neutral	that little girl still holding her phone while tears are pouring out of her eyes
1961517040	__sentiment__worry	@laurenvdw ahh when i was there it was closed
1957527894	__sentiment__worry	HOW COME ITS SO HARD TO FIND A GUY WITH THE SAME PASSION FOR LOVE AS FOR A WOMAN?? AM I EVER GOING TO SEE THE DAY! IM lonely yall!
1965893082	__sentiment__love	For some reason, Corona Light tastes so much better when I am with you than it does when I am alone.   http://twitpic.com/67wa0
1961815174	__sentiment__worry	@enave22 Hey! You have a bunch of events on facebook that jenny and i aren't invited to...  we're sad
1752964191	__sentiment__love	@jamie_oliver Please pass on our &quot;happy mothers day&quot; to Julz. Have fun with your girls
1752800003	__sentiment__relief	SNL after party
1695165192	__sentiment__worry	@justinlevy I know! I'm so slow its horrible. DON'T TELL ON ME!
1752897547	__sentiment__happiness	ready for a day full of His presence  i'm expecting the best!
1962307142	__sentiment__worry	I wanna longboard but it's raining ughhhhhh
1963305956	__sentiment__sadness	@srubin sorry to disappoint.
1753501199	__sentiment__empty	This is a status update to twitter from ICE  Timestamp: Sun May 10 10:57:44 CEST 2009
1751286710	__sentiment__neutral	I'm Such a nerd. Reading my first of many books this summer
